"fips","median_cases","median_ratiocases","median_total_population","median_population_density","median_deaths","mean_D_stay_at_home_effective","median_days_stay_at_home_effective","median_mean_temp","median_dewpoint","median_life_expectancy","median_years_of_potential_life_lost_rate","median_age_adjusted_death_rate","median_percent_fair_or_poor_health","median_percent_low_birthweight","median_average_number_of_physically_unhealthy_days","median_percent_adults_with_diabetes","median_num_hiv_cases","median_percent_adults_with_obesity","median_food_environment_index","median_num_food_insecure","median_percent_excessive_drinking","median_percent_uninsured","median_num_primary_care_physicians","median_preventable_hospitalization_rate","median_percentile_rank_social_vulnerability","median_percentile_rank_socioeconomic_theme","median_percentile_rank_below_poverty","median_percentile_rank_unemployed","median_percentile_rank_per_capita_income","median_percentile_rank_no_highschool_diploma","median_percentile_rank_household_comp_disability_theme","median_percentile_rank_age_65_and_older","median_percentile_rank_age_17_and_younger","median_percentile_rank_disabled","median_percentile_rank_single_parent_households","median_percentile_rank_minority_status_and_language_theme","median_percentile_rank_minorities","median_percentile_rank_limited_english_abilities","median_percentile_rank_housing_and_transportation","median_percentile_percentile_rank_multi_unit_housing","median_percentile_rank_mobile_homes","median_percentile_rank_overcrowding","median_percentile_rank_no_vehicle","median_percentile_rank_institutionalized_in_group_quarters"
"13279",558,0.0205449189985272,27160,74.6142364048125,6,0.968127490039841,117,24.2777777777778,64.3,74.387625405,10721.759461,554.10736084,23.335153334,12.101682778,4.1780507218,16,77,48.3,6.7,4580,13.985924197,18.576506051,27,5010,0.9739,0.9185,0.9306,0.8918,0.8023,0.8227,0.8577,0.2639,0.928,0.4107,0.9446,0.8777,0.8004,0.8507,0.9503,0.4651,0.8497,0.9309,0.9023,0.4104
"13285",1939,0.027974146637043,69314,167.428694644286,45,0.929411764705882,109,21.1111111111111,62.5,75.20371002,9917.6465547,501.98441773,18.600573327,10.906843813,3.6831269491,11,118,40.4,6.8,12030,14.619291226,14.720016715,37,5454,0.9054,0.8169,0.8026,0.8854,0.6845,0.6714,0.8825,0.1684,0.8488,0.6103,0.9736,0.7816,0.8278,0.6393,0.8115,0.7475,0.3629,0.5259,0.8991,0.5836
"13287",213,0.0261317629738682,8151,28.560622258905,18,0.945525291828794,114,24.3888888888889,69.3,73.708439282,10279.45103,578.10914831,21.573612255,13.939393939,4.0164783436,18.2,29,38.7,6.8,1540,13.62534272,18.44981782,1,5042,0.9984,0.9472,0.9424,0.7752,0.9529,0.9319,0.9971,0.6151,0.766,0.851,0.9815,0.8676,0.8523,0.7743,0.9726,0.3594,0.8669,0.9054,0.788,0.801
"13289",68,0.008131053449719,8363,23.333448449834,2,0.952755905511811,114.5,23.2777777777778,66.85,71.847878553,16162.046278,636.55785477,22.843328601,10.597302505,4.1792482703,16.5,17,36.1,6.9,1680,12.873909348,17.208931419,1,5790,0.7246,0.9261,0.9643,0.6205,0.9163,0.9822,0.7046,0.7109,0.1436,0.7873,0.6364,0.4397,0.8526,0.0506,0.2964,0.092,0.9828,0.0513,0.8376,0.164
"13291",201,0.00912267961693823,22033,68.4323644892381,6,0.991803278688525,119.5,18.9722222222222,60,79.202699572,7382.8463421,333.6397197,14.157368931,7.6301615799,3.2677580398,15.5,27,27,8.9,2120,14.687836351,18.686253127,19,3060,0.3709,0.531,0.3362,0.7752,0.5533,0.3973,0.5113,0.9917,0.0344,0.8669,0.1436,0.2967,0.1875,0.475,0.2512,0.5985,0.489,0.0751,0.2939,0.5591
"13293",460,0.017428203379556,26394,81.6048942165491,45,0.971887550200803,118,22.6111111111111,64.2,73.490333405,10536.69477,555.72455526,19.90970066,12.117055327,3.9293223778,11.9,56,26.6,6.2,4520,14.285714366,13.820828774,14,5597,0.9061,0.9284,0.8564,0.9459,0.8545,0.836,0.7221,0.533,0.6243,0.6533,0.4928,0.5836,0.7227,0.4247,0.8762,0.3521,0.7246,0.7373,0.9341,0.5441
"13295",539,0.00790983666700908,68143,152.653410277101,14,0.987755102040816,119,22.2222222222222,61.9,74.736861897,10284.591817,531.21870745,17.775533973,9.8591549296,3.6630575482,18.9,94,36.6,7.4,8190,15.405483736,15.205947794,12,4915,0.6396,0.7284,0.6705,0.5256,0.709,0.8169,0.7208,0.4273,0.5196,0.781,0.5737,0.2604,0.3155,0.2783,0.5909,0.411,0.6243,0.7959,0.3626,0.5107
"13297",717,0.00820028363603093,87436,268.466411675159,32,0.973451327433628,111.5,20.9444444444444,64.35,76.480409119,8535.957542,424.12668493,16.86508269,8.7065269176,3.3537741799,10.5,140,28.4,8.1,10060,16.273652319,13.529274853,24,5091,0.326,0.5193,0.3422,0.6361,0.5107,0.5291,0.5629,0.2095,0.865,0.2429,0.7736,0.5116,0.6237,0.3983,0.0599,0.2018,0.3403,0.4922,0.2038,0.1188
"13299",1041,0.0291833702447366,35671,39.9501044178972,21.5,0.964285714285714,116.5,24.4722222222222,64.7,74.031860671,10582.73518,559.56697069,21.900871613,10.18705036,4.009381863,12.6,153,36.3,5.9,6170,14.641943448,15.583045297,26,6932,0.9583,0.7892,0.9484,0.3422,0.9083,0.7482,0.921,0.3575,0.6628,0.781,0.9048,0.781,0.7638,0.7023,0.9828,0.5632,0.7829,0.6492,0.9252,0.8733
"13301",44,0.00799418604651163,5504,19.3598807284332,0,0.982300884955752,109.5,22.5555555555556,65.75,73.649556329,13059.17134,621.54839619,24.273968564,14.833759591,4.208018884,24.1,22,57.7,6.5,1190,11.45316401,15.648761344,3,3558,0.9446,0.9701,0.9261,0.9459,0.9096,0.9567,0.6829,0.7876,0.3613,0.3025,0.802,0.7609,0.9421,0.4862,0.8758,0.6651,0.9484,0.3139,0.9819,0.3824
