"county","median_cases","median_ratiocases","median_total_population","median_population_density","median_deaths","mean_D_stay_at_home_effective","median_days_stay_at_home_effective","median_mean_temp","median_dewpoint","median_life_expectancy","median_years_of_potential_life_lost_rate","median_age_adjusted_death_rate","median_percent_fair_or_poor_health","median_percent_low_birthweight","median_average_number_of_physically_unhealthy_days","median_percent_adults_with_diabetes","median_num_hiv_cases","median_percent_adults_with_obesity","median_food_environment_index","median_num_food_insecure","median_percent_excessive_drinking","median_percent_uninsured","median_num_primary_care_physicians","median_preventable_hospitalization_rate","median_percentile_rank_social_vulnerability","median_percentile_rank_socioeconomic_theme","median_percentile_rank_below_poverty","median_percentile_rank_unemployed","median_percentile_rank_per_capita_income","median_percentile_rank_no_highschool_diploma","median_percentile_rank_household_comp_disability_theme","median_percentile_rank_age_65_and_older","median_percentile_rank_age_17_and_younger","median_percentile_rank_disabled","median_percentile_rank_single_parent_households","median_percentile_rank_minority_status_and_language_theme","median_percentile_rank_minorities","median_percentile_rank_limited_english_abilities","median_percentile_rank_housing_and_transportation","median_percentile_percentile_rank_multi_unit_housing","median_percentile_rank_mobile_homes","median_percentile_rank_overcrowding","median_percentile_rank_no_vehicle","median_percentile_rank_institutionalized_in_group_quarters"
"Bryan",479.5,0.014059934318555,34104,78.1546733260387,6,0.96031746031746,115.5,24.25,68.55,76.147113485,8094.2857431,441.20583074,15.808502142,7.3131955485,3.2504441139,11.2,30,35.1,8,3890,18.114208878,12.216420598,29,4627,0.3403,0.3833,0.3483,0.7931,0.1907,0.269,0.4979,0.0283,0.9612,0.0981,0.9376,0.6441,0.6457,0.6052,0.148,0.4323,0.6208,0.4069,0.2206,0.0248
"Buchanan",1083,0.0121120617346083,89415,219.140619802247,10,0.960474308300395,116,18.4444444444444,54.1,76.342799715,8761.5516006,447.20303334,21.128093048,8.2669322709,4.730539226,12,134,38.3,7.5,12600,17.808513297,11.493429919,57,5002,0.7084,0.5731,0.6705,0.4502,0.5868,0.5002,0.6122,0.2401,0.5568,0.5218,0.8351,0.6186,0.5033,0.6985,0.8217,0.8338,0.192,0.4737,0.8472,0.7924
"Buckingham",592,0.034762184380505,17030,29.3794786936753,6,1,122,18.9444444444444,60.2,78.764751937,7453.9538209,372.32838167,19.103107004,10.552268245,4.0209689848,16.8,67,39.9,7.5,2510,16.793097126,13.395452214,4,4426,0.7947,0.8332,0.6227,0.737,0.8672,0.8844,0.5275,0.4352,0.155,0.6437,0.8185,0.5648,0.7994,0.3149,0.7472,0.1181,0.936,0.3231,0.6587,0.9497
"Bullitt",300,0.00385966266548304,77727,261.685611884203,4,1,127,21.3333333333333,56.7,77.887021495,7926.3335162,384.15154379,17.739563409,7.7811879401,4.154734646,17.2,34,34.5,8,8020,17.87622493,4.8709672665,15,6584,0.1261,0.3709,0.1611,0.4823,0.3865,0.5291,0.4476,0.1684,0.5963,0.4639,0.7389,0.1398,0.1449,0.2292,0.0236,0.3973,0.4167,0.1942,0.0551,0.0382
"Bulloch",1032,0.0141097332549459,73141,108.671647283545,11,0.975903614457831,118,23.2777777777778,65.7,77.064323444,7875.8548831,423.86559706,20.57244783,10.058577406,4.2746676695,11.9,227,30,6.8,14470,16.820874402,16.779862877,42,6884,0.7908,0.8548,0.9713,0.8259,0.8516,0.5339,0.0923,0.0315,0.1859,0.2267,0.8583,0.6396,0.7647,0.4779,0.937,0.8723,0.7335,0.4756,0.5033,0.9204
"Bullock",414.5,0.0392816527672479,10552,16.9426930187977,12,0.963114754098361,112.5,24.1944444444444,66.3,73.530894789,11679.558981,562.24752995,30.999101851,15.688487585,5.3591593432,23.7,56,37.2,4.3,2600,12.094101229,11.440376122,3,6632,0.9363,0.9812,0.9335,0.9599,0.9293,0.9901,0.7265,0.2732,0.362,0.6864,0.9854,0.8341,0.9812,0.5769,0.7144,0.1897,0.9599,0.0169,0.9857,0.7705
"Bureau",141,0.0041688841582402,33822,38.9191216531235,2,1,134,17.8333333333333,53.4,78.629183337,7205.6709591,370.37586137,15.165622447,6.3127090301,3.6541520785,11.1,24,27.4,8,3150,19.695580918,6.0713323843,16,2647,0.3219,0.3088,0.3362,0.5116,0.2865,0.2477,0.6173,0.7529,0.4209,0.3025,0.6851,0.5078,0.3954,0.6227,0.2139,0.6046,0.1461,0.3604,0.5193,0.2681
"Burke",339,0.014843681583326,22838,27.6165750073093,7,0.956521739130435,115,23.5555555555556,65.2,73.524130781,12288.659928,531.78893173,24.138329367,12.357320099,4.3174071858,14.1,81,34.5,6.3,4810,13.009483052,15.179476239,8,5367,0.8742,0.8892,0.9659,0.5699,0.8962,0.8902,0.9074,0.1964,0.8953,0.5934,0.9819,0.7418,0.8972,0.5014,0.5059,0.0423,0.9656,0.6835,0.6807,0.1748
"Burleson",231,0.0132629040592525,17417,26.4281727951338,5,0.979423868312757,121,24.7777777777778,68.1,76.724240886,8224.0721368,429.69905424,17.625474698,8.2162921348,3.6820832939,4.8,28,38.4,7.3,2840,17.635401462,19.837603248,7,5873,0.6628,0.4916,0.3664,0.3964,0.3846,0.7892,0.8615,0.7011,0.5785,0.6437,0.6313,0.8504,0.7428,0.8465,0.4101,0.0888,0.9436,0.9093,0.2496,0.1691
"Burlington",5525.5,0.0122724526692668,450236,563.563356046822,466.5,0.957692307692308,122.5,16.7222222222222,53.2,79.393127475,6639.4431703,321.44290411,14.399465002,8.3051557015,3.3946931468,11.5,860,29.3,8.5,41680,18.804290632,5.5470544276,377,5030,0.198,0.1535,0.0299,0.6466,0.0309,0.1025,0.0662,0.3133,0.3817,0.1404,0.3413,0.7666,0.7131,0.7246,0.3149,0.8602,0.0462,0.3244,0.313,0.6259
"Burnet",536,0.0120222501345774,44584,44.8411877218529,7,0.968627450980392,119,23.8888888888889,61.4,79.203228456,6882.3203262,333.7722844,16.537019165,6.6547831254,3.5190215148,17.8,54,31.3,7,6100,17.880923835,21.283299108,22,4438,0.5616,0.3352,0.4155,0.2057,0.2805,0.5603,0.9096,0.8239,0.391,0.7994,0.6568,0.7867,0.6469,0.8284,0.3566,0.4661,0.6944,0.6711,0.2763,0.1566
"Burnett",39,0.00255586866767154,15259,18.5729860340293,2,1,156,16.4444444444444,48.6,78.875196828,8595.7413575,373.36252864,14.000552928,4.0261153428,3.6788247868,13.8,10,35.1,8.4,1640,21.16654779,8.419987117,2,4924,0.1977,0.3588,0.5107,0.4241,0.4432,0.149,0.6358,0.9605,0.085,0.6437,0.4986,0.2572,0.341,0.2461,0.0474,0.1945,0.4429,0.3626,0.1624,0.1264
"Butler",606,0.00785262865526232,66264,61.7373223999853,4.5,0.960038986354776,118,20.5555555555556,58.3,76.524876613,9428.605198,421.754694,16.472483558,7.9895843257,4.0032777891,11.2,81,35.2,7.7,7970,19.040756862,7.8949270126,42,5764,0.3499,0.2904,0.3664,0.3964,0.2547,0.3244,0.2881,0.1885,0.7278,0.192,0.6781,0.6049,0.5317,0.547,0.5479,0.7068,0.3566,0.4117,0.4358,0.6819
"Butte",810,0.00361805813013396,223877,136.805354101919,5,1,129,23.3333333333333,48.5,77.646220562,7784.4961042,398.93458413,17.448755904,6.0342803475,4.2097806513,9.8,242,27.2,7,35920,20.207333977,7.1636527881,141,4656,0.7915,0.6807,0.8026,0.8854,0.4429,0.4257,0.3031,0.4683,0.2273,0.6606,0.4078,0.7826,0.6603,0.8093,0.9195,0.8348,0.5667,0.7689,0.6705,0.6074
"Butts",438,0.0186549682695174,23479,127.769620793,36,0.952,117.5,21.2222222222222,64.1,73.805512814,10786.871489,564.7885945,20.159468362,10.288461538,3.8106968501,12.6,81,33.7,7.4,3850,15.440841915,14.960054011,5,5151,0.7415,0.865,0.7701,0.7036,0.852,0.8949,0.2327,0.2311,0.3454,0.4731,0.5982,0.6081,0.7342,0.4537,0.6676,0.2926,0.4709,0.5556,0.5801,0.9424
"Cabell",325,0.00336358837957836,96623,343.829945032444,2,1,130,19.1666666666667,56.9,71.351553632,15636.045244,662.91987294,23.296008533,10.559939872,5.6443944138,14.5,147,33.3,7.3,15270,11.772898047,8.7354342151,151,4904,0.6313,0.6065,0.8198,0.4616,0.5333,0.5129,0.4903,0.4683,0.1939,0.8141,0.5406,0.3486,0.3543,0.3938,0.8367,0.8921,0.3824,0.1735,0.9701,0.7635
"Caddo",5357,0.0211634567901235,253125,288.126849853066,263,0.955390334572491,122,23.9444444444444,64.8,74.903312853,10846.772719,510.02098162,22.875329212,14.22640127,4.8965442599,13,1150,39.9,5.8,49490,17.348238547,8.6488047521,282,6451,0.8026,0.6211,0.8395,0.5425,0.4308,0.5603,0.7956,0.2521,0.7545,0.4731,0.9401,0.6886,0.9026,0.4132,0.8411,0.8208,0.4117,0.5282,0.9163,0.5167
"Calaveras",53,0.00118337910554402,44787,43.9082937177742,0,1,106,23,45.3,79.52590973,7345.8857981,336.12365883,12.329144758,5.7408844065,3.448904159,11.7,40,30.5,8.2,5480,20.181067608,7.3307759688,20,3050,0.2642,0.3601,0.3066,0.8173,0.1359,0.269,0.5075,0.944,0.0691,0.8379,0.1827,0.4986,0.5384,0.4572,0.0898,0.2502,0.3337,0.5304,0.1907,0.2114
"Calcasieu",1138,0.00576982553629464,197233,185.316254541664,54,0.98,95.5,25.2222222222222,69.05,75.13583341,9982.662223,489.03825061,19.326450598,9.8837496908,4.3580781378,11.3,646,35.4,7.3,27110,19.063175991,8.8325141999,155,4614,0.7475,0.5705,0.5976,0.5813,0.4257,0.5944,0.8316,0.1748,0.8077,0.6103,0.8984,0.582,0.7157,0.4298,0.802,0.6896,0.6781,0.5998,0.6587,0.4782
"Caldwell",293,0.0228068420526158,39848,73.0850113378238,3,0.98997995991984,127,24.5,66.3,77.354248434,8696.0903756,437.05860465,23.058850624,8.6456908345,4.0530290293,10.6,87,39.1,7.7,5070,17.439645173,21.692969871,12,5634,0.8793,0.6447,0.6816,0.1955,0.7176,0.836,0.5473,0.1544,0.745,0.3795,0.795,0.9516,0.9233,0.9175,0.9612,0.6039,0.8383,0.9532,0.313,0.929
"Caledonia",26,0.000842541884053275,30859,47.5471560694608,0,1,127.5,12.6666666666667,44.2,78.751246986,7333.5622022,331.72219256,13.813026786,6.3938618926,3.5377622929,8.8,22,31.8,8.3,3680,16.568842719,5.8259555172,26,3469,0.3346,0.319,0.2869,0.4241,0.4524,0.2553,0.4222,0.5753,0.2407,0.8083,0.3139,0.1477,0.135,0.2512,0.6479,0.5193,0.482,0.5444,0.5193,0.7354
"Calhoun",494,0.00865702695668959,115883,190.705620667553,10,0.968503937007874,119,21.3333333333333,60.9,75.96794176,10056.69431,498.26523466,23.107733221,9.1613736678,4.8803767403,17.5,167,38.3,6.9,18100,13.842230147,11.929167524,73,4297,0.816,0.8179,0.7348,0.8259,0.659,0.73,0.7876,0.3999,0.6138,0.8418,0.7752,0.6269,0.6676,0.6313,0.7023,0.6052,0.631,0.3706,0.8153,0.6125
"Callahan",46,0.00338334804354222,13596,15.1172183570708,3,1,125.5,24.1388888888889,57.9,76.271685708,8864.0044618,443.87175838,16.77024025,11.263467189,3.7505185428,13.4,5,34.8,6.6,2240,18.198158593,18.546793605,1,4217,0.3601,0.4658,0.6479,0.1299,0.6332,0.4467,0.7128,0.73,0.694,0.7297,0.1404,0.4699,0.4378,0.5161,0.113,0.0525,0.9166,0.4938,0.0786,0.0643
"Callaway",102,0.00228223659186002,44693,53.5516517442224,1,0.945525291828794,114,19.6111111111111,56.9,77.898298231,7314.1792083,383.6974026,18.057466494,8.5034013605,4.1473762963,16.9,69,37.2,7.8,5580,19.507600527,10.604822231,17,3662,0.3699,0.446,0.3362,0.3298,0.5616,0.5798,0.2455,0.2162,0.3642,0.5288,0.5594,0.2878,0.3524,0.2897,0.5645,0.3394,0.6753,0.3289,0.3986,0.914
"Calumet",218,0.00439046986083419,49653,156.02574548563,2,0.977011494252874,124,14.7222222222222,46.6,80.861148257,4588.0504581,234.39275278,10.860281785,6.6500415628,2.9821250888,11.9,15,26.9,9.1,3220,27.408099861,4.3695206118,6,2148,0.0318,0.0226,0.028,0.0557,0.1289,0.1178,0.1455,0.1449,0.8507,0.0357,0.4266,0.4655,0.3136,0.6358,0.022,0.6966,0.0805,0.1678,0.0872,0.0462
"Camden",262,0.00593404602283022,44152,67.3050428832244,3,0.945525291828794,114,19.0555555555556,58.5,79.386717855,8301.1232767,363.02303291,17.589149053,6.4851307775,4.4049582908,11.8,36,23.3,7.7,5930,16.651374937,14.253795299,35,3355,0.3926,0.603,0.6603,0.7453,0.4795,0.4327,0.3177,0.9366,0.1028,0.6606,0.0844,0.2668,0.1754,0.4304,0.3263,0.9656,0.3862,0.4696,0.1754,0.1961
"Cameron",8201,0.0195828408371838,418785,469.973923569321,272,0.946360153256705,116,26.8333333333333,72.7,80.914610073,6293.3182164,321.25526239,31.356670731,8.1357393607,5.1344756132,10.5,839,30.8,7.3,47770,15.492334581,29.035257157,207,5259,0.979,0.9726,0.9787,0.8007,0.979,0.9917,0.744,0.1067,0.9822,0.2662,0.9787,0.9981,0.9952,0.9943,0.865,0.8507,0.5387,0.9924,0.7475,0.1318
"Camp",218,0.0172591243765339,12631,64.5014509748521,4,0.995967741935484,122.5,23.5833333333333,65.15,75.537633963,9970.3157442,477.21516991,20.616382553,7.4581430746,4.1435460445,16,21,27.9,6.8,2320,16.698926507,21.241485177,11,6301,0.8494,0.7405,0.7205,0.4616,0.8208,0.7619,0.9245,0.5119,0.8905,0.6103,0.6995,0.9102,0.843,0.8777,0.4855,0.2407,0.7813,0.8867,0.5339,0.0608
"Campbell",253,0.00395924520077732,55061,109.273561497379,4,0.977835723598436,122,18.6666666666667,57.1,77.001615618,8892.0779563,417.47773986,18.694786994,8.0192259044,4.4603249108,11.4,56,32.7,7.7,5910,16.715288447,11.44779614,19,5638,0.2531,0.3464,0.4508,0.3531,0.4298,0.5944,0.235,0.5845,0.2585,0.4308,0.5883,0.2372,0.2757,0.2751,0.4473,0.6313,0.6663,0.1445,0.788,0.2738
"Candler",217,0.0197956577266922,10962,45.1013716940354,4,0.979674796747967,119.5,24.0833333333333,68.8,73.069223282,11594.880199,585.74484891,25.521784917,11.342351717,4.464123626,12,31,49.6,7.2,1900,13.336804582,20.794609665,4,6598,0.9707,0.9004,0.9599,0.5425,0.9341,0.9341,0.9777,0.4174,0.8338,0.7233,0.979,0.7759,0.7829,0.6721,0.8717,0.1188,0.9793,0.8949,0.6807,0.6043
"Cannon",108.5,0.00783110790328401,13855,52.1579860789487,0,0.980314960629921,121.5,20.6944444444444,60.5,74.389786086,11228.906636,548.05403738,19.657211698,9.3297101449,4.4198003862,10.8,22,36.9,8.4,1640,14.620915509,11.988887924,3,7375,0.54,0.7195,0.5304,0.8405,0.6313,0.6925,0.503,0.5944,0.2773,0.8141,0.3442,0.1968,0.1757,0.3015,0.4979,0.454,0.7864,0.6062,0.3986,0.2837
"Canyon",4061,0.0200264323263406,202782,345.221474541385,27,0.98046875,122.5,15.6111111111111,42.35,78.944664264,6388.3502209,324.26430559,17.453884201,6.8706164636,3.8966212976,9.8,61,34.9,7.8,23870,14.852530286,14.567805156,76,2949,0.7584,0.7848,0.6883,0.6937,0.8978,0.6479,0.5727,0.1111,0.9707,0.2926,0.7284,0.8313,0.6883,0.866,0.4374,0.5008,0.3973,0.8848,0.234,0.4021
"Cape Girardeau",571.5,0.00731857239816107,78089,134.9772413988,3,0.94921875,114.5,20.6111111111111,58.85,77.537984509,7873.2051186,387.21352948,19.157647899,8.5991244528,4.5336858441,13.3,65,31.9,7.3,11480,18.509353113,10.359289135,73,4313,0.3477,0.4142,0.6291,0.3677,0.4167,0.2837,0.0942,0.3133,0.3512,0.3238,0.3235,0.347,0.4457,0.3005,0.6979,0.7826,0.326,0.4323,0.5645,0.787
"Cape May",781,0.0081862395706679,95404,378.397336152333,86,0.992156862745098,125,17.6111111111111,57.5,77.208290049,8785.3035426,402.35137737,17.648060469,7.0743801653,3.886422607,10.2,185,28.7,7.7,11260,18.130743026,8.1090199645,55,4259,0.3438,0.2926,0.1678,0.7851,0.0656,0.2923,0.1636,0.9137,0.0681,0.4107,0.1089,0.561,0.467,0.6367,0.5887,0.8192,0.1391,0.2502,0.8322,0.6587
"Carbon",58,0.00560928433268859,10340,5.04886426940709,0,1,127,13.6111111111111,28.3,81.159752308,6990.3637101,305.68076523,12.251904022,6.4761904762,3.4017889991,6.1,5,27.5,8,1020,21.366615424,11.731634183,5,3928,0.0334,0.056,0.192,0.1191,0.1401,0.0576,0.2369,0.8784,0.0981,0.5005,0.1783,0.1917,0.164,0.3044,0.0366,0.1519,0.5259,0.34,0.0462,0.1449
"Caribou",29,0.00425656832526053,6813,3.86200488949493,0,1,130,8.88888888888889,31.7,78.327698234,6707.3626999,330.60215223,13.174179766,8.5803432137,3.4687509194,13.3,0,30,7.8,720,16.472467952,9.1050988554,3,2595,0.1888,0.1484,0.1563,0.0497,0.4362,0.149,0.3661,0.4476,0.9573,0.3795,0.0697,0.4448,0.2891,0.6224,0.2315,0.1942,0.4518,0.6189,0.3473,0.3461
"Carlton",124,0.00349472972211262,35482,41.19469506546,0,1,128,12.4444444444444,40.5,78.451576532,6375.4383833,325.57844823,12.048064683,5.9556247567,3.0424395336,9.8,14,30.4,8.2,3500,21.960774124,5.2847266766,23,7024,0.2894,0.1936,0.3362,0.1754,0.3926,0.0497,0.2818,0.3999,0.532,0.1614,0.6399,0.2907,0.4078,0.2416,0.6985,0.7393,0.3824,0.582,0.3814,0.8083
"Caroline",292,0.00924651592443058,32653,102.219003287465,3.5,0.98207171314741,123,19.1111111111111,59.95,76.073092012,9121.859698,431.26821256,17.211157909,7.6923076923,3.8304785489,12.9,76,40.2,8.4,3630,16.389890332,8.3859105166,12,4914,0.6699,0.6199,0.5925,0.5947,0.4951,0.6883,0.788,0.2833,0.695,0.483,0.9494,0.7338,0.618,0.7657,0.3878,0.3575,0.2913,0.6243,0.6705,0.3785
"Carroll",171,0.00601774317981744,28417,50.8753123985564,6,0.974254742547426,122,18.5,56.6,78.181864788,8073.1734588,387.31922096,16.206026411,7.4056823475,3.7763505909,13.1,20,33,8.1,3600,16.670329994,10.856710346,14,4396,0.3757,0.596,0.5014,0.4823,0.4795,0.5683,0.3212,0.7876,0.3359,0.6008,0.2187,0.3101,0.2264,0.3152,0.2292,0.2139,0.5164,0.4387,0.4537,0.3712
"Carson City",260,0.00477835771520988,54412,376.135370124653,7,0.926640926640927,112,16,27.8,74.735673648,10026.294098,498.72529928,19.819263311,7.7517507848,4.4336321337,11.1,130,28.3,7.9,6740,19.811535054,12.628434016,42,3912,0.8749,0.5727,0.5664,0.8109,0.3346,0.4951,0.7962,0.6753,0.269,0.9271,0.5501,0.8427,0.7138,0.859,0.9736,0.9487,0.4734,0.8727,0.7049,0.7373
"Carter",398.5,0.00702735112067293,56707,166.20173788156,5,0.988095238095238,122.5,18.9166666666667,57.35,75.79178445,9602.2477367,481.05915378,23.798783136,8.9539511086,4.9501308318,21.1,48,37.7,6.1,8410,12.955376364,12.009567177,21,5715,0.6154,0.8029,0.8765,0.5425,0.8163,0.7599,0.6613,0.73,0.1455,0.8819,0.469,0.1092,0.1347,0.1722,0.5578,0.4196,0.6944,0.3171,0.5495,0.6638
"Carver",602,0.00619704971022101,97143,274.268002922656,2,0.929889298892989,117,13.8333333333333,39.3,83.255562331,3593.1929777,176.46261659,9.2750491725,5.8369098712,2.44905381,7.1,55,23.9,9.5,5440,24.441553566,3.1729616142,85,7697,0.022,0.0013,0.0025,0.0755,0.0153,0.0115,0.0618,0.0283,0.9424,0.0048,0.17,0.4269,0.3655,0.5138,0.0796,0.8822,0.0968,0.1859,0.1754,0.1356
"Cascade",113,0.00137722580409268,82049,30.4089309384909,2,0.97244094488189,119.5,12.5833333333333,35.35,77.868738189,7298.5505148,381.20034595,16.129373528,7.9776422764,3.9502230711,8.9,35,27.3,7.6,9730,19.422769963,10.082418427,56,3455,0.4034,0.2569,0.4362,0.2502,0.3317,0.1748,0.4998,0.4782,0.4992,0.4731,0.5759,0.2537,0.461,0.12,0.8309,0.8765,0.4323,0.5183,0.6297,0.7049
"Cass",265,0.00655770117972715,38324,92.9845235275449,8,0.970102281667978,122,18,53.7,77.197215349,9286.4839414,420.40013624,16.918023134,7.810552555,3.8558177944,18.3,26,36.6,8.2,5960,17.34724501,8.8401500764,12,5183,0.3588,0.5256,0.4635,0.6078,0.3757,0.4616,0.6383,0.6816,0.5065,0.5559,0.5199,0.3916,0.518,0.3461,0.2732,0.3445,0.3922,0.6224,0.4877,0.2327
"Catahoula",237.5,0.0234105470675209,10145,14.3285445681962,3,0.988095238095238,122.5,22.9722222222222,65.5,73.633535569,10576.118864,551.66911852,22.418596301,10.87962963,4.7984130502,12.9,29,37.1,6.6,1720,18.321274212,10.659415364,1,7507,0.687,0.7857,0.7701,0.5699,0.6905,0.8988,0.1993,0.3464,0.4244,0.4107,0.3951,0.4011,0.7399,0.0904,0.8615,0.1238,0.9303,0.5817,0.6807,0.9255
"Catoosa",457,0.00696168786655495,65645,404.809688688035,8,0.956521739130435,115,22.1666666666667,61.5,77.486966919,7804.6358822,406.72151846,14.696782062,8.2610491532,3.2756607752,16.7,50,38.8,7.9,6250,17.271318204,12.739131225,33,4463,0.2534,0.49,0.2518,0.5552,0.5345,0.5861,0.3384,0.3464,0.6673,0.4212,0.3792,0.3403,0.3072,0.4269,0.0872,0.3792,0.5387,0.3343,0.1404,0.1162
"Cattaraugus",157,0.00199984714544111,78506,60.0033837857786,5,1,129.5,12.7222222222222,47.3,77.848798956,7254.9515966,372.91965711,16.370699866,8.0166485704,3.9080481386,13.3,88,37.6,8.1,9750,18.985244325,6.4828015666,36,5371,0.7106,0.5868,0.617,0.5947,0.6129,0.4327,0.6202,0.4782,0.5317,0.4731,0.6826,0.4534,0.3305,0.5954,0.8984,0.5342,0.5737,0.6211,0.9198,0.7195
"Cayuga",141,0.00178972620996916,78783,113.917038208601,1,1,129,16.1111111111111,46.9,79.440231197,6465.7445631,324.5058179,14.158372297,6.4669068841,3.5083631505,12.4,181,34.1,8.6,8320,20.754651492,5.0618108921,21,5932,0.4588,0.3664,0.2321,0.5116,0.3305,0.4744,0.3766,0.4575,0.2493,0.3337,0.8313,0.3206,0.3429,0.3617,0.8122,0.7523,0.4642,0.1913,0.8946,0.8173
"Chaffee",260,0.0140487383152321,18507,18.2621416259436,19,0.980314960629921,121.5,12.5555555555556,17.9,82.021473515,5979.0385488,259.58098966,12.804392222,9.2190889371,3.2298299498,7,9,15.6,8.6,1920,18.558286232,10.173031026,18,2715,0.1605,0.1203,0.1277,0.1299,0.2579,0.1748,0.2518,0.8819,0.0216,0.5419,0.2423,0.5107,0.432,0.5893,0.2174,0.2942,0.4117,0.1792,0.1754,0.8574
"Chambers",785.5,0.023090716679405,34018,57.0263634811693,34,0.936507936507937,109.5,21.2222222222222,62.85,74.291076031,11112.536614,511.62651724,23.995473603,12.213740458,4.9411783568,19.9,111,40.1,6.4,6070,12.745734617,11.938076809,14,5622,0.8408,0.7689,0.7644,0.5947,0.7122,0.7934,0.7615,0.6151,0.3467,0.689,0.7138,0.5798,0.8402,0.2996,0.8596,0.5845,0.6734,0.8812,0.774,0.3251
"Champaign",405,0.00506733843619804,206420,207.199945763623,5,1,126,17.0555555555556,52.7,80.529049753,5919.5112493,291.6497066,16.332737938,8.2687651332,3.8642220678,9.3,355,30.8,7.5,31250,20.563806152,6.0591156358,199,5169,0.4741,0.3228,0.8138,0.3018,0.2833,0.0325,0.0172,0.0538,0.1213,0.0242,0.4565,0.7736,0.7096,0.7393,0.9841,0.9838,0.1566,0.8179,0.9411,0.8978
"Charles",1726.5,0.0111851098427671,154357,337.182665732957,90,0.938461538461538,117.5,18.6666666666667,57.25,78.71131795,7351.2539887,342.75354602,14.052300459,9.5153435882,3.1973147395,11.8,448,36.2,8.3,16660,16.093641709,5.0133901575,63,5108,0.1465,0.0443,0.0551,0.2502,0.0341,0.1063,0.2633,0.0513,0.8048,0.0194,0.8252,0.8236,0.9137,0.6272,0.0815,0.7692,0.0408,0.2378,0.1261,0.311
"Charles City",45,0.00635055038103302,7086,38.7600770147641,3,0.954198473282443,118.5,19,58.8,75.60157542,11456.941399,476.62925183,18.351932862,11.35734072,3.8222016518,17.6,16,34.2,8,990,14.535470691,16.414283044,2,3895,0.2607,0.5209,0.4285,0.5699,0.1398,0.8902,0.2178,0.8239,0.0299,0.4938,0.2738,0.5189,0.928,0.106,0.0614,0.1732,0.6622,0.2493,0.2763,0
"Charlevoix",44,0.00168118600030567,26172,62.8615794751867,2,0.958646616541353,122.5,12.1111111111111,43.15,79.930377516,6382.0312357,298.46717132,12.95207101,5.8787507655,3.7268513004,12.5,8,34.9,8.5,2920,18.6756041,6.3711911357,23,3703,0.1477,0.2499,0.2869,0.5947,0.1738,0.1143,0.3072,0.8338,0.227,0.4639,0.2471,0.1299,0.2079,0.1417,0.2079,0.6784,0.3378,0.0907,0.5495,0.2311
"Charlotte",207,0.00482341399607587,169642,249.061779330477,1,0.946850393700787,115.5,24.3333333333333,68.2,80.79011746,8115.1485863,346.79226536,15.664628654,8.612109483,4.0235107025,12.9,328,27.9,7,22460,16.487778383,17.104715384,117,4780,0.4817,0.4257,0.2869,0.8539,0.2566,0.3438,0.433,0.9994,0.0045,0.8669,0.0799,0.6138,0.4973,0.6975,0.4833,0.8717,0.4935,0.2795,0.313,0.5425
"Charlton",199,0.0153454657618754,12968,16.7627565881219,2,0.909774436090226,108.5,24.6666666666667,70.05,78.3033645,8812.2040599,433.78628501,19.83422109,8.082026538,3.8002965451,16.7,26,35.4,7.1,1970,15.902177013,15.711928336,4,6592,0.7775,0.9029,0.774,0.9354,0.8953,0.772,0.085,0.1283,0.1496,0.4212,0.5807,0.8768,0.7883,0.8583,0.6683,0.0981,0.994,0.0302,0.7972,0.9226
"Chatham",4207.5,0.0148878501696666,282613,658.680556032753,48,0.9453125,113.5,24.1944444444444,68.55,77.907619762,8287.3681329,395.41918388,18.439646474,10.174014769,3.3980138721,10.3,1701,32.4,6.9,47310,16.948149929,16.223679374,256,4502,0.6858,0.5349,0.6479,0.7851,0.2961,0.3515,0.2639,0.1684,0.4365,0.2429,0.8545,0.8526,0.8857,0.709,0.8424,0.9045,0.192,0.5234,0.7972,0.7784
"Chattahoochee",552,0.0464568254502609,11882,47.7695876735597,1,0.971887550200803,117,23.3333333333333,65.3,77.81126558,9079.8318799,495.8524883,19.655825864,6.7100977199,3.6934572685,6.1,9,34.7,4.4,1820,22.907404682,12.133370227,8,2514,0.7752,0.6711,0.4094,0.9834,0.8402,0.2837,0.3343,0,0.574,0.5107,0.7246,0.8268,0.8071,0.7364,0.866,0.3196,0.6905,0.7093,0.5495,0.9946
"Chattooga",144.5,0.0057693843328276,25046,79.9357698643291,2,0.952755905511811,114.5,21.6944444444444,61,72.549350133,12534.641897,619.87597921,19.089461344,7.8393881453,3.8758197367,12.3,64,30.2,7.7,3560,15.261448861,16.638034255,2,6840,0.9284,0.9472,0.8395,0.8539,0.9443,0.9647,0.6415,0.3894,0.4413,0.7125,0.6498,0.6227,0.5298,0.6826,0.9277,0.304,0.7988,0.9723,0.5193,0.8828
"Chautauqua",224,0.0017002155630446,131748,124.26406905056,4,1,130,14.1666666666667,48.9,77.34508697,7995.6636114,390.90762146,18.017901402,7.4889403834,4.0705906287,12.1,237,33.4,7.8,16150,19.160749684,5.2759920195,69,3728,0.6893,0.6269,0.7259,0.6466,0.5823,0.4327,0.5403,0.5753,0.2907,0.5005,0.7001,0.5444,0.4132,0.6663,0.7771,0.6769,0.3085,0.3629,0.9093,0.7985
