"county","median_cases","median_ratiocases","median_total_population","median_population_density","median_deaths","mean_D_stay_at_home_effective","median_days_stay_at_home_effective","median_mean_temp","median_dewpoint","median_life_expectancy","median_years_of_potential_life_lost_rate","median_age_adjusted_death_rate","median_percent_fair_or_poor_health","median_percent_low_birthweight","median_average_number_of_physically_unhealthy_days","median_percent_adults_with_diabetes","median_num_hiv_cases","median_percent_adults_with_obesity","median_food_environment_index","median_num_food_insecure","median_percent_excessive_drinking","median_percent_uninsured","median_num_primary_care_physicians","median_preventable_hospitalization_rate","median_percentile_rank_social_vulnerability","median_percentile_rank_socioeconomic_theme","median_percentile_rank_below_poverty","median_percentile_rank_unemployed","median_percentile_rank_per_capita_income","median_percentile_rank_no_highschool_diploma","median_percentile_rank_household_comp_disability_theme","median_percentile_rank_age_65_and_older","median_percentile_rank_age_17_and_younger","median_percentile_rank_disabled","median_percentile_rank_single_parent_households","median_percentile_rank_minority_status_and_language_theme","median_percentile_rank_minorities","median_percentile_rank_limited_english_abilities","median_percentile_rank_housing_and_transportation","median_percentile_percentile_rank_multi_unit_housing","median_percentile_rank_mobile_homes","median_percentile_rank_overcrowding","median_percentile_rank_no_vehicle","median_percentile_rank_institutionalized_in_group_quarters"
"Natchitoches",628,0.01599673951806,39258,31.3497078161957,15.5,1,127.5,23.25,66.6,74.738508067,11468.493486,515.07944873,26.00375773,11.690848214,5.2589639815,15.7,114,36.4,5.3,8690,17.879922797,9.6322811585,22,6439,0.943,0.9182,0.9608,0.9379,0.8701,0.6769,0.7803,0.2833,0.6953,0.6673,0.7507,0.5616,0.8663,0.2388,0.9748,0.8574,0.8074,0.6071,0.9163,0.5587
"Navajo",5028,0.0464656359452541,108209,10.8754021429262,165,0.945945945945946,115,20,27.8,74.442247892,13754.907935,519.7273987,24.284684904,8.7178534955,4.9668846218,15.4,131,34,4.6,22590,13.64950539,15.120113587,68,3413,0.9946,0.9592,0.9615,0.992,0.9634,0.7552,0.9656,0.3346,0.9414,0.7068,0.9029,0.9424,0.923,0.8937,0.9414,0.2541,0.8395,0.9828,0.8609,0.5845
"Navarro",891,0.0184943022604147,48177,47.7173970229092,12,0.976190476190476,120.5,24.3055555555556,64.8,75.731494107,9241.3400053,461.95547402,21.094765452,8.4238573478,4.1402695172,9.9,89,30.4,6.6,8270,17.142599032,22.4375,22,4890,0.9819,0.8742,0.7479,0.8698,0.7278,0.9058,0.9828,0.3894,0.894,0.7628,0.9535,0.9277,0.8274,0.943,0.9016,0.5024,0.73,0.9338,0.7389,0.476
"Nevada",256,0.00259532233700666,98639,102.988513952139,1,1,128.5,17.4722222222222,34.8,81.320987637,5835.2399112,270.83357003,11.943551373,5.7529908515,3.4598173317,6.2,102,22,7.8,12030,20.822974969,7.0499404982,70,2300,0.2197,0.2531,0.2732,0.7453,0.0777,0.0834,0.1815,0.8968,0.0634,0.4419,0.1344,0.5817,0.4725,0.6724,0.205,0.6097,0.2499,0.5037,0.2763,0.2436
"New Haven",12794,0.0148616406117504,860874,1424.10572248851,1092,0.965250965250965,120,15.9444444444444,49.1,80.13563462,6218.7764347,301.64881833,14.442711452,8.0582982254,3.2923227221,9.8,3228,28.1,8,104190,18.554108781,5.6898991941,756,4231,0.5075,0.3295,0.3161,0.7163,0.0748,0.3397,0.1331,0.3225,0.3123,0.1503,0.6393,0.8634,0.758,0.8593,0.7778,0.9398,0.0223,0.4429,0.9411,0.71
"New Kent",76,0.00379033464665104,20051,95.6015408099877,1,0.990867579908676,107,20.5555555555556,64.4,79.369439989,6873.8581229,318.34641337,12.097618935,7.1834992888,3.0078715922,9,26,32.9,9.4,1420,20.080158522,9.5732542218,7,3929,0.006,0.0471,0.0067,0.2369,0.0513,0.1687,0.0229,0.2467,0.3356,0.0981,0.086,0.2811,0.5747,0.0564,0.0452,0,0.2499,0.3518,0.0261,0.6453
"New Madrid",8,0.000438861155301991,18229,27.0123198548329,0,0.857142857142857,9.5,14.5555555555556,44.65,72.512045589,12632.042543,608.64309484,26.272392649,11.02117061,5.5925978513,14.8,15,35.8,6.9,3540,15.559552171,13.479848235,1,7307,0.8542,0.9519,0.894,0.9182,0.8803,0.9233,0.9869,0.5237,0.625,0.9303,0.9643,0.3508,0.5683,0.1837,0.4066,0.0805,0.5259,0.3493,0.9064,0.49
"New York City",225414,0.0266385061335074,8461961,28069.675982573,22848,0.924187725631769,117,17.8888888888889,52.6,83.2327720726879,4692.20619293838,247.092587524841,17.4827254078317,8.17785145836361,3.67480570799926,9.419121194248,99095,21.5165291355042,8.35689541703158,1179690,19.678206557873,7.55358459723298,6679,4007.24713680434,0.724113508228176,0.625816626973346,0.680711655619779,0.693157913880719,0.303695891047004,0.746623015173433,0.197327829813917,0.144087379367501,0.431131857095536,0.111054059195026,0.611525653474413,0.979111195430941,0.945407830348072,0.981191898190029,0.903038299774721,0.992834611705254,0.00449867032003575,0.972433335015371,0.997591122459676,0.450721787089305
"Newaygo",246,0.00512959526242259,47957,58.7950842887224,0,0.996108949416342,127,14.1111111111111,48.6,78.190617773,7126.2177328,351.53870806,16.822189476,7.3428420497,4.2070696939,9.9,28,34.7,8.3,5680,18.904110597,7.2443880589,19,3490,0.6266,0.7163,0.6603,0.7561,0.687,0.5734,0.6396,0.5435,0.5966,0.7504,0.3002,0.3951,0.3416,0.4769,0.5164,0.3677,0.8395,0.6663,0.2939,0.3976
"Newport",380,0.00459414367579853,82714,807.454426289682,6,0.988188976377953,123.5,16.3333333333333,53.1,81.417106862,5414.5643335,270.80776569,12.056788365,6.7388688327,3.5393762282,7.7,101,25.3,8.3,8780,22.057013053,4.0533696306,69,4047,0.2034,0.1117,0.1067,0.4502,0.0143,0.0926,0.0952,0.6816,0.0885,0.2114,0.334,0.5428,0.4575,0.6173,0.5237,0.8351,0.0805,0.1127,0.766,0.7835
